"Area Geografica","Regione","Provincia","Sigla Provincia","Alunni Totali","Percentuale Alunni ITA","Percentuale Alunni NITA","Totale alunni Femmine","Totale Alunni Maschi","Media Alunni per classe","Totale Classi","Percentuali Alunni Femmine","Percentuali Alunni Maschi","ATA titolari","ATA supplenti","Totale ATA","Percentuale ATA titolari","Percentuali ATA Supplenti","Docenti Totali","Docenti titolari","Docenti Supplenti","Percentuali Docenti Titolari","Percentuali Docenti Supplenti","Posti vacanti per Docente Normale","Posti vacanti per Docente Sostegno","Totale Posti vacanti","Punteggio Invalsi Inglese Listening","Punteggio Invalsi Inglese Reading","Punteggio Invalsi Italiano","Punteggio Invalsi Matematica)","Participation in life-long learning","Participation in the school system of children aged 4-5","People having completed tertiary education (ISCED 5 6 7 or 8)","People not in education employment or training (NEET)","People with at least upper secondary education level (25-64 years old)","Average annual per capita amount of pension income","Average annual salary of employees","Average disposable income per capita","Bad loan entry rate of bank loans to households","Brain circulation (Italians 25-39 years old)","Burglaries reported","Deadly crimes reported","Electricity from renewable sources","Employment rate (20-64 years old)","Hospital patient emigration to a different region","Inadequate level of literacy (students in grade 8)","Inadequate level of numeracy (students in grade 8)","Intentional homicide rate","Irregularities in electric power distribution","Life expectancy at birth","Medical specialists","Municipal councilors under the age of 40","Municipal waste generated","Non-participation rate","Overall Fixed Very High Capacity Network (VHCN) coverage","PM10 Annual average concentration","PM2.5 Annual average concentration","Paid days in the year (employees)","Pensioners with a low pension income","Pick-pocketings reported","Prison density","Road accidents mortality rate (15-34 years old)","Road mortality in non-urban roads","Robberies reported","Seat-Km of public transport networks","Separate collection of municipal waste","Separate collection service for municipal waste","Soil sealing from artificial land cover","Spread of agritourism farms","Urban green","Voter turnout (Regional Councils)","Women municipal councilors","Youth's employment rate (15-29 years old)","Youth's non-participation rate","codice_provincia","anno","Pop25Y0","Pop25Y1","Pop25Y2","Pop25Y3","Pop25Y4","Pop25Y5","Pop25Y6","Pop25Y7","Pop25Y8","Pop25Y9","Pop25Y10","Pop25Y11","Pop25Y12","Pop25Y13","Pop25Y14","Pop25Y15","Pop25Y16","Pop25Y17","Pop25Y18","Pop25Y19","Pop25Y20","nr Studenti Superiori","Indice di svantaggio","Stipendio Medio","Buy Apartment Price | Price per Square Meter to Buy Apartment Outside of Centre","Buy Apartment Price | Price per Square Meter to Buy Apartment in City Centre","Childcare | International Primary School, Annual Tuition per Child","Childcare | Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","Clothing And Shoes | Jeans (Levi's 501 or Similar)","Clothing And Shoes | Men's Leather Business Shoes","Clothing And Shoes | Nike Running Shoes (Mid-Range)","Clothing And Shoes | Summer Dress in a Chain Store (e.g. Zara or H&M)","Markets | Apples (1 kg)","Markets | Bananas (1 kg)","Markets | Beef Round or Equivalent Back Leg Red Meat (1 kg)","Markets | Bottle of Wine (Mid-Range)","Markets | Bottled Water (1.5 Liter)","Markets | Chicken Fillets (1 kg)","Markets | Cigarettes (Pack of 20, Marlboro)","Markets | Domestic Beer (0.5 Liter Bottle)","Markets | Eggs (12, Large Size)","Markets | Fresh White Bread (500 g Loaf)","Markets | Imported Beer (0.33 Liter Bottle)","Markets | Lettuce (1 Head)","Markets | Local Cheese (1 kg)","Markets | Milk (Regular, 1 Liter)","Markets | Onions (1 kg)","Markets | Oranges (1 kg)","Markets | Potatoes (1 kg)","Markets | Tomatoes (1 kg)","Markets | White Rice (1 kg)","Rent Per Month | 1 Bedroom Apartment Outside of City Centre","Rent Per Month | 1 Bedroom Apartment in City Centre","Rent Per Month | 3 Bedroom Apartment Outside of City Centre","Rent Per Month | 3 Bedroom Apartment in City Centre","Restaurants | Bottled Water (0.33 Liter)","Restaurants | Cappuccino (Regular Size)","Restaurants | Combo Meal at McDonald's (or Equivalent Fast-Food Meal)","Restaurants | Domestic Draft Beer (0.5 Liter)","Restaurants | Imported Beer (0.33 Liter Bottle)","Restaurants | Meal at an Inexpensive Restaurant","Restaurants | Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)","Restaurants | Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle)","Salaries And Financing | Annual Mortgage Interest Rate (20-Year Fixed, in %)","Salaries And Financing | Average Monthly Net Salary (After Tax)","Sports And Leisure | Cinema Ticket (International Release)","Sports And Leisure | Monthly Fitness Club Membership","Sports And Leisure | Tennis Court Rental (1 Hour, Weekend)","Transportation | Gasoline (1 Liter)","Transportation | Monthly Public Transport Pass (Regular Price)","Transportation | One-Way Ticket (Local Transport)","Transportation | Taxi 1 Hour Waiting (Standard Tariff)","Transportation | Taxi 1 km (Standard Tariff)","Transportation | Taxi Start (Standard Tariff)","Transportation | Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car)","Transportation | Volkswagen Golf 1.5 (or Equivalent New Compact Car)","Utilities (Monthly) | Basic Utilities for 85 m2Apartment (Electricity, Heating, Cooling, Water, Garbage)","Utilities (Monthly) | Broadband Internet (Unlimited Data, 60 Mbps or Higher)","Utilities (Monthly) | Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)"
"Nord","Piemonte","Torino","TO",89889,87.79,12.21,44502,45387,19.3090731707317,4463,49.5077261956413,50.4922738043587,6246,2738,8984,69.52,30.48,12136,8240,3896,67.9,32.1,534,"93",627,216.091846023438,203.323744506657,183.273749212726,191.493395298672,12.8,93.9,33.1,12,70,23955.5,26426.4,25852.9,0.5,28.5,262.9,1.1,31.2,70.8,3.9,35.6,39.3,0.4,2.1,83.4,33.9,19.6,504,10.7,74.3,35,20,82.5,6.7,472.9,133.3,0.4,2.8,86.4,4592,64.1,40.6,8.58,3.6,27.9,,35,35,19.4,"ITC11",2025,12828,13138,13817,14288,14660,15123,15555,16400,17132,17635,18312,18890,19443,19714,20269,20774,20993,20780,20708,20968,21236,124492,-0.77,1745.58,1275,2033.33,5000,450,85,145,83.33,47.23,2.04,1.67,18.33,4,0.45,9,6,1.4,3.32,2.12,2.12,1.64,14.25,1.47,1.43,2.5,1.37,2.5,2.33,387.5,400,550,675,1.04,1.62,10,4,4,15.5,60,2.76,3.19,1634,8,35,30,1.8,68,1.9,55,2,5,31500,32434,219.5,25.25,9.39
"Nord","Piemonte","Vercelli","VC",7005,88.67,11.33,3340,3665,16.1440476190476,405,47.6802284082798,52.3197715917202,490,327,817,59.98,40.02,1130,762,368,67.43,32.57,92,"17",109,204.286176988633,196.370360299833,175.855978306094,181.563341481564,13.5,96.7,29.2,11.2,62.8,22362.5,24671.4,22579.9,0.7,-24.3,184.5,2.4,44.2,71.4,8.7,41.2,48.8,,1.5,82,26.8,19.9,496,10.5,56.3,22,15,82,5.8,130.2,138.5,1.9,9.2,24.7,391,70.1,85.5,4.99,1.4,32,,35.7,42.2,16.3,"ITC12",2025,900,978,1008,1048,1048,1061,1154,1202,1225,1295,1323,1317,1441,1364,1407,1507,1448,1554,1496,1490,1462,8902,-0.45,1875,1787.5,2750,,256.67,77.5,87.5,80,27.5,2.08,1.36,15.5,5,0.34,10,6,1.41,2.58,2,1.86,1.3,12,1.05,1.64,2.2,1.36,2.62,1.95,424,530,600,825,1.12,1.77,10,5,5,15,70,2.33,3,1520,10,56.25,17.5,1.74,35,1.5,25,1.5,5,31500,28717,247,31.98,12.49
"Nord","Piemonte","Novara","NO",14045,88.02,11.98,7017,7028,18.3252380952381,739,49.9608401566394,50.0391598433606,993,498,1491,66.6,33.4,2013,1383,630,68.7,31.3,166,"31",197,220.381538958229,206.230295788183,182.126463135772,192.844209095821,13.6,94.3,32.1,14.2,64.9,23481.5,25246.5,21826.6,0.6,2.1,232.1,1.7,15.7,74.8,14.1,37.9,40.8,0.8,1.5,83.6,33.4,20.1,504,8.8,43.4,24,16,83,5.4,218.6,113.5,0.3,3.8,37.2,2395,80.4,100,11.2,5.2,14.3,,27.7,40,19.9,"ITC15",2025,2216,2286,2403,2495,2517,2693,2779,2842,2994,3043,3158,3254,3356,3409,3368,3500,3467,3688,3542,3560,3537,21125,-0.48,1866.67,1833.33,3000,16750,700,100,133.33,113.33,34.98,1.65,1.5,21.6,4.5,0.45,12,6,1.5,3.5,2.09,2,1.33,15.5,1.5,1.43,2.25,2.33,3.04,2.67,650,850,900,1300,1.17,1.65,8,5,4.5,18,55,2.33,2.92,1560,10,70,18,1.77,20,1.5,35,2,8,29750,32434,195.5,23.67,11.83
"Nord","Piemonte","Cuneo","CN",24907,90.16,9.84,12752,12155,18.2356038647343,1271,51.1984582647449,48.8015417352551,1746,1005,2751,63.47,36.53,3428,2433,995,70.97,29.03,107,"47",154,222.750905715166,207.968399723558,186.678751881005,197.020652357045,9.5,96.4,23.2,7,63.2,21412,24153,25132.6,0.4,-14.2,294.9,2.2,45.7,75.1,3.7,33.8,34.6,0.5,1.6,83.2,24.6,21.5,515,6.3,50.7,22,12,81.3,6.1,40.8,70.9,0.7,4.6,14.8,2781,71.6,85.6,5.33,6.4,32.5,,30.4,47.4,10.9,"ITC16",2025,3846,3996,4025,4318,4341,4491,4615,4883,5011,5058,5281,5354,5474,5460,5538,5688,5636,5702,5630,5656,5757,33850,-0.62,1770,1192.5,1975,8183.33,614.29,60,90,88,23.66,2.76,2.63,20,9,0.43,16.75,6,0.85,5.06,2.25,0.85,1.15,31.33,1.55,1.8,2.66,2,3.21,3.4,425,550,750,1050,1.12,1.9,10,4.5,3.75,17.5,70,2.58,3.73,1912.5,8.99,34.99,8.99,1.79,53,2.2,13,1.1,5.8,31726.92,32750,366.67,19.99,12.79
"Nord","Piemonte","Asti","AT",7341,85.18,14.82,3413,3928,17.9017391304348,369,46.4923035008854,53.5076964991146,568,314,882,64.4,35.6,1024,671,353,65.53,34.47,70,"17",87,216.630617185766,206.354805068266,182.126282456292,192.301041933714,7.2,93.9,24.1,11.1,61.4,21763.2,23558.9,20783.2,0.9,-15,301.6,2.9,15.4,74,5,37.2,42.1,0.5,1.3,82.8,20.2,20.1,442,9.6,53.8,31,17,82.5,5.9,82.7,127.3,1.3,10.8,15.9,1469,68.9,87.4,7.27,18.8,28.2,,31,39.6,20.9,"ITC17",2025,1215,1200,1257,1315,1349,1409,1401,1573,1644,1643,1684,1764,1834,1798,1806,1890,1950,1940,1931,2030,1969,11547,-0.19,1651.93,1200,2100,8183.33,500,85,120,83.33,35,1.9,2.6,26.02,5.4,0.38,13,6,1.87,3.95,1.85,2.03,2.25,35.75,1.75,2.4,2.66,2.17,3.21,3.4,370,450,443.33,600,1.25,1.63,11,5,4.5,15,60,3,4.05,1651.93,8.5,70,10,1.84,25,1.2,13,5,5.8,31726.92,23250,154.72,22.67,9
"Nord","Piemonte","Alessandria","AL",15306,85.4,14.6,7770,7536,19.2847727272727,744,50.7644061152489,49.2355938847511,1098,514,1612,68.11,31.89,1908,1305,603,68.4,31.6,177,"25",202,217.638183448741,208.72175013765,184.117699313229,189.794792864566,6.9,96.6,22.6,15.9,63.8,22304.1,24681.8,22089.9,0.9,-14.7,343.8,2,22.1,71.2,13.3,40,43.5,0.7,1.3,82.3,29,17.6,484,8.9,49,30,16,83,6.3,162.1,96.2,0.3,2.7,34.4,1047,66.1,59.7,7.14,7.7,27.3,,29.6,37.8,22.2,"ITC18",2025,2104,2262,2380,2315,2460,2536,2668,2855,2914,3014,3092,3156,3311,3401,3468,3552,3596,3593,3622,3558,3648,21389,0.03,1634,1818,3357.76,5100,666.67,75.83,127.5,96.67,42.25,2.07,1.85,14.75,6.5,0.36,9.42,6,1.7,3.6,1.5,2.17,1.13,13.67,1.37,1.42,1.87,1.5,3.16,2.53,597.75,800,953.67,1341.67,1.09,1.75,10,3.5,3,15,60,2.25,3.92,1689.92,7.5,46.26,22.5,1.78,35,1,21,2,5,31500,32434,214.76,27.44,10.33
"Nord","Piemonte","Biella","BI",6135,94.18,5.82,3128,3007,16.0103703703704,338,50.9861450692747,49.0138549307253,441,308,749,58.88,41.12,947,673,274,71.07,28.93,44,"4",48,223.240201463205,208.810327743603,190.849113333095,196.591709846492,14.5,95.7,29.3,8,62.7,22156.4,24889.8,23666.2,0.6,-13.3,136.2,1.8,21.7,75,9.7,33.5,37.1,1.2,1.8,82.7,24.3,19.3,519,8.2,64.5,19,12,84.7,4.9,57.4,93.9,0.3,7.8,16,401,72.7,80.1,7.94,6.6,20.5,,34.5,42.7,15.3,"ITC13",2025,800,866,883,912,947,1001,1058,1010,1177,1140,1225,1230,1335,1294,1383,1409,1439,1523,1500,1508,1481,8762,-0.73,1660,2100,2400,7104,398.9,70,80,60,20,1.25,1.2,17.73,4,0.5,7,5.5,1.44,3.84,1.66,2.77,1,10,1.69,1.15,1,0.8,3.34,2.8,350,520.52,600,675,1,1.53,9.95,4.5,4.25,15,50,2,3.09,1500,6,45,,1.84,20,1.2,21,1.1,4,31333.33,32434,178.87,27.08,8.5
"Nord","Piemonte","Verbano-Cusio-Ossola","VB",7124,92.97,7.03,3420,3704,18.0076666666667,391,48.0067377877597,51.9932622122403,,,,,,,,,,,75,"13",88,220.91135399686,209.659592931064,186.384809337642,195.510036281324,9.4,97,23,16.3,57.6,20849.7,20722,21076.9,0.6,-5,82.5,3.9,211.4,72.6,16.1,34,39.8,0.6,1,83,27.9,21.8,584,9.3,32.1,16,12,77.2,8.9,45.5,134,0.7,4,15.6,1491,73.7,89.6,2.79,1.9,111.1,,35.4,41.3,18.3,"ITC14",2025,749,771,788,905,908,834,938,973,1044,1111,1166,1198,1231,1270,1311,1359,1342,1293,1413,1402,1432,8120,,,950,1816.67,6000,516.67,82.5,146.67,80,40,1.92,1.72,15,7.5,0.5,9.08,6.5,1.22,4.8,2.25,1.5,0.7,11.75,1.54,1.46,2.36,1.67,2.3,2.38,483.33,650,650,800,1.17,1.92,11.5,5,3,15.25,52.5,2.33,3.83,1700,11,85,,1.78,46,1.7,,1.5,7,28250,28000,170,25,10.17
"Nord","Liguria","Imperia","IM",7851,84.23,15.77,3915,3936,18.7013333333333,401,49.866259075277,50.133740924723,616,212,828,74.4,25.6,1083,742,341,68.51,31.49,79,"9",88,213.604248409486,202.356012632572,181.668337628113,183.339699069766,5.3,95.1,18.9,15.2,58.8,19763.8,17682.2,21051.3,0.7,-27,190.1,3.4,10.4,67.3,18.5,43.4,46.7,0.5,1.7,82.3,23.9,20.7,559,11,33.7,,,73.2,8.9,102.5,116.7,0.5,5.2,39.3,753,55.3,41.7,6.38,20.8,6.6,,38.2,39.9,22.2,"ITC31",2025,1213,1187,1266,1315,1381,1342,1406,1516,1580,1566,1631,1645,1698,1707,1743,1810,1886,1867,1772,1924,1902,11002,0.32,1583.33,2180.88,3062.3,12333.33,520,70.23,93.91,79,29.18,2,1.5,14.7,3.85,0.42,10.47,6.5,1.13,3.4,1.85,1.6,1.63,13.33,1.26,1.97,2.07,1.66,2.33,2.72,520.42,641.53,817.47,1215.38,1.19,1.69,10,5,5,13.75,75,2.97,3.06,2115.94,10,29.62,20.5,1.74,40,1.7,35,2,9.2,30907.69,32434,177.66,25.59,7.81
"Nord","Liguria","Savona","SV",10749,89.49,10.51,5332,5417,18.9678571428571,537,49.6046143827333,50.3953856172667,748,260,1008,74.21,25.79,1535,1050,485,68.4,31.6,102,"2",104,213.149335097188,204.708782324124,181.09224280569,189.861757872543,13.9,96.1,25.7,12.5,67.1,22245.5,20107.8,25179.3,0.8,-16.2,287.1,3,23,69.1,18.8,39.7,42.4,1.1,1,83.2,31.5,22.2,581,11.3,30.4,16,11,74.6,6.5,218,,1,1.8,38.5,2648,61.7,51.3,6.72,11.4,5.9,,35.4,35.6,22.5,"ITC32",2025,1307,1368,1449,1432,1521,1513,1668,1700,1803,1939,2024,1985,2200,2131,2176,2287,2379,2365,2418,2493,2437,14118,-0.37,1562.88,766.67,1450,9000,625,76.67,100,75,37.5,2.35,1.9,19,6,0.3,8,6,1.82,3.4,2,2.33,1.27,12.75,1.13,1.4,1.75,1.47,4.23,2.67,325,375,500,616.67,1.18,1.6,9.5,4.5,4,15,60,3,3.4,1660,8,60,22,1.77,33.5,1.7,26,1.5,13,31500,32434,173.33,24.33,7
