codice_provincia,provincia,anno,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20
ITG14,Agrigento,2019,3179,3310,3275,3309,3525,3431,3689,3816,3921,3996,4077,4148,4209,4441,4520,4407,4611,4810,5111,5267,5158
ITG14,Agrigento,2020,3002,3182,3291,3255,3297,3515,3417,3677,3789,3905,3972,4074,4136,4207,4433,4510,4398,4610,4794,5066,5127
ITG14,Agrigento,2021,3003,3135,3249,3340,3321,3362,3514,3432,3661,3780,3900,3990,4047,4166,4227,4442,4498,4388,4591,4755,4978
ITG14,Agrigento,2022,2986,3028,3138,3257,3350,3305,3356,3538,3458,3718,3810,3944,4005,4086,4211,4269,4487,4604,4441,4562,4712
ITG14,Agrigento,2023,3090,3002,3055,3157,3266,3342,3303,3362,3539,3450,3713,3821,3939,4015,4098,4219,4285,4560,4675,4494,4552
ITG14,Agrigento,2024,2946,3095,3012,3057,3152,3292,3342,3303,3364,3548,3456,3738,3825,3957,4027,4133,4276,4416,4654,4677,4475
ITG14,Agrigento,2025,2967,2976,3116,3029,3066,3184,3312,3347,3336,3391,3556,3473,3767,3835,3957,4028,4196,4463,4501,4641,4636
ITG14,Agrigento,2026,2750,2993,2981,3139,3025,3089,3194,3318,3368,3344,3414,3580,3474,3776,3856,3961,4053,4213,4466,4517,4657
ITC18,Alessandria,2019,2473,2671,2777,2832,2931,2996,3178,3226,3328,3415,3478,3450,3386,3289,3392,3350,3347,3373,3409,3557,3520
ITC18,Alessandria,2020,2333,2513,2671,2756,2828,2908,2993,3179,3237,3310,3409,3461,3444,3402,3297,3402,3353,3374,3423,3461,3594
ITC18,Alessandria,2021,2258,2372,2507,2701,2800,2858,2906,2991,3150,3235,3297,3398,3464,3448,3415,3315,3404,3321,3346,3393,3442
ITC18,Alessandria,2022,2164,2293,2383,2523,2732,2784,2859,2955,3023,3208,3261,3329,3427,3462,3466,3444,3343,3442,3331,3376,3415
ITC18,Alessandria,2023,2299,2199,2342,2404,2565,2753,2820,2908,2978,3067,3232,3296,3361,3451,3498,3494,3479,3397,3483,3412,3429
ITC18,Alessandria,2024,2218,2317,2256,2408,2464,2623,2796,2864,2957,3032,3109,3275,3338,3422,3498,3545,3536,3556,3461,3576,3513
ITC18,Alessandria,2025,2104,2262,2380,2315,2460,2536,2668,2855,2914,3014,3092,3156,3311,3401,3468,3552,3596,3593,3622,3558,3648
ITC18,Alessandria,2026,2134,2167,2312,2419,2364,2508,2589,2721,2890,2952,3074,3126,3203,3356,3435,3503,3624,3655,3649,3715,3655
ITE32,Ancona,2019,3097,3244,3492,3657,3771,3871,4082,4150,4330,4530,4546,4400,4267,4239,4268,4170,4324,4182,4245,4304,4411
ITE32,Ancona,2020,2949,3144,3279,3493,3684,3765,3879,4068,4159,4315,4515,4552,4383,4268,4228,4278,4182,4342,4217,4292,4367
ITE32,Ancona,2021,2884,3011,3182,3317,3529,3726,3784,3883,4055,4143,4311,4494,4544,4383,4271,4235,4294,4187,4364,4244,4354
ITE32,Ancona,2022,2851,2918,3031,3175,3316,3529,3735,3795,3915,4079,4184,4339,4526,4561,4413,4302,4257,4339,4206,4386,4279
ITE32,Ancona,2023,2655,2884,2981,3058,3216,3343,3575,3756,3813,3934,4108,4222,4373,4550,4595,4447,4333,4295,4405,4269,4463
ITE32,Ancona,2024,2730,2684,2901,3009,3109,3234,3354,3593,3776,3828,3971,4115,4238,4400,4575,4624,4493,4366,4369,4525,4351
ITE32,Ancona,2025,2535,2778,2718,2927,3039,3128,3246,3378,3628,3824,3863,4010,4165,4280,4462,4587,4672,4558,4463,4453,4606
ITE32,Ancona,2026,2633,2560,2826,2757,2974,3082,3149,3272,3422,3656,3858,3888,4033,4202,4307,4513,4628,4721,4607,4510,4513
ITE18,Arezzo,2019,2221,2409,2521,2464,2649,2630,2866,2934,2960,2989,3032,3073,2996,2999,3133,2894,3003,2999,2985,2988,3096
ITE18,Arezzo,2020,2186,2237,2421,2513,2472,2663,2648,2853,2924,2965,2995,3016,3076,2992,3004,3127,2900,3008,3033,3008,3037
ITE18,Arezzo,2021,2157,2198,2252,2445,2566,2518,2667,2656,2852,2930,2942,2994,3024,3101,3002,3015,3137,2924,3018,3046,3021
ITE18,Arezzo,2022,2175,2180,2217,2258,2435,2581,2523,2686,2683,2869,2942,2953,2997,3050,3119,3017,3036,3165,2913,3036,3058
ITE18,Arezzo,2023,2007,2207,2207,2238,2266,2443,2591,2537,2711,2674,2883,2944,2971,3004,3074,3121,3044,3055,3183,2952,3070
ITE18,Arezzo,2024,1946,2023,2231,2209,2245,2275,2449,2602,2556,2727,2692,2894,2971,2969,3006,3090,3138,3083,3088,3212,3003
ITE18,Arezzo,2025,2024,1983,2045,2237,2226,2272,2284,2457,2613,2575,2731,2709,2900,2997,2973,3017,3107,3178,3126,3142,3286
ITE18,Arezzo,2026,1907,2036,2013,2071,2273,2257,2303,2309,2480,2628,2577,2761,2730,2922,3013,3001,3050,3137,3206,3178,3188
ITE34,Ascoli Piceno,2019,1305,1367,1494,1501,1639,1625,1621,1665,1726,1731,1832,1748,1773,1749,1869,1770,1739,1788,1972,1963,2112
ITE34,Ascoli Piceno,2020,1239,1327,1377,1500,1507,1652,1631,1625,1669,1726,1735,1847,1750,1770,1749,1876,1766,1740,1797,1981,1978
ITE34,Ascoli Piceno,2021,1244,1245,1317,1386,1502,1516,1640,1632,1621,1669,1728,1745,1832,1753,1770,1753,1873,1778,1751,1813,1987
ITE34,Ascoli Piceno,2022,1203,1254,1259,1316,1393,1498,1516,1649,1645,1640,1681,1737,1762,1832,1761,1776,1768,1886,1783,1749,1822
ITE34,Ascoli Piceno,2023,1190,1222,1276,1265,1330,1404,1523,1537,1660,1671,1656,1687,1749,1766,1855,1768,1784,1778,1906,1789,1762
ITE34,Ascoli Piceno,2024,1192,1186,1239,1286,1271,1338,1420,1532,1561,1669,1688,1664,1698,1768,1781,1871,1780,1807,1818,1942,1814
ITE34,Ascoli Piceno,2025,1135,1194,1208,1260,1298,1273,1352,1432,1547,1575,1696,1688,1679,1717,1775,1792,1886,1788,1836,1843,1951
ITE34,Ascoli Piceno,2026,1141,1147,1202,1226,1268,1293,1277,1365,1432,1568,1574,1702,1711,1699,1725,1785,1817,1900,1798,1858,1865
ITC17,Asti,2019,1338,1537,1564,1586,1639,1720,1775,1773,1748,1867,1880,1895,1872,1909,1882,1863,1918,1857,1893,1972,2048
