cod_scuola,nome_scuola,indirizzo_scuola,sito_scuola,scuola_paritaria,id_provincia,id_regione,id_comune,comune_scuola,num_diplomati_x_coorte,indice_fga,fga_forchetta_bassa,fga_forchetta_alta,indice_perc_cfu,indice_media_voti,completamento_pct,tasso_immatricolazione_pct,tasso_non_immatricolazione_pct,abbandono_pct,voto_medio_immatricolati,voto_medio_non_immatricolati,comune_di_ricerca,raggio_km_ricerca,tipologia_ricerca
TOPC01000C,CAMILLO BENSO DI CAVOUR,CSO TASSONI 15,http://www.lcavour.gov.it/,0,1,1,1272,Torino,78,81.46,76.69,86.53,80.91,27.84,5.93,91.49,8.51,8.09,86.04,82.95,Torino,10,Classico
TOPC090009,VINCENZO GIOBERTI,VIA SANT'OTTAVIO 911,http://www.liceogioberti.it/,0,1,1,1272,Torino,99,81.08,76.67,85.84,75.71,28.37,6.57,87.54,12.46,9.43,88.72,84.35,Torino,10,Classico
TOPC10000P,VITTORIO ALFIERI,CSO DANTE 80,http://www.liceoalfieri.it/,0,1,1,1272,Torino,205,77.66,74.3,81.21,75.83,27.54,6.94,90.28,9.72,6.65,84.76,82.63,Torino,10,Classico
TOPC070004,MASSIMO D'AZEGLIO,VIA PARINI 8,http://www.liceomassimodazeglio.it/,0,1,1,1272,Torino,124,76.72,72.72,80.99,74.74,27.44,7.04,90.32,9.68,9.68,86.73,80.43,Torino,10,Classico
TOPC075007,VALSALICE,VLE ENRICO THOVEZ 37,http://www.liceovalsalice.it/,1,1,1,1272,Torino,28,68.76,61.2,76.75,68.09,26.33,7.6,90.48,9.52,9.52,87.29,82.0,Torino,10,Classico
TOPS20000P,UMBERTO I,VIA BLIGNY 1BIS,http://www.cnuto.gov.it:1180/,0,1,1,1272,Torino,42,68.65,62.26,75.74,65.13,26.66,7.67,85.16,14.84,11.72,89.57,91.21,Torino,10,Classico
TOPC06500L,ISTITUTO SOCIALE,CSO SIRACUSA 10,http://www.istitutosociale.it/#sthash.lip1EdSt.dpbs,1,1,1,1272,Torino,16,60.49,51.1,70.64,65.66,24.64,6.56,96.0,4.0,14.0,85.52,99.0,Torino,10,Classico
TOPS034015,CURIE (IS CURIE - VITTORINI),CSO ALLAMANO 120130,http://www.iiscurievittorini.edu.it/,0,1,1,1120,Grugliasco,22,83.89,73.88,94.15,95.1,26.72,6.98,95.45,4.55,4.55,85.69,71.0,Torino,10,Scientifico
TOPS04500E,EDOARDO AGNELLI,CSO UNIONE SOVIETICA 362,http://www.istitutoagnelli.it/index.php,1,1,1,1272,Torino,22,83.73,75.6,92.41,85.94,27.78,8.38,97.01,2.99,11.94,89.62,77.5,Torino,10,Scientifico
TOPS270001,ALTIERO SPINELLI,VIA FIGLIE DEI MILITARI 25,http://www.istitutoaltierospinelli.com/,0,1,1,1272,Torino,19,82.24,73.52,91.57,87.28,27.26,7.47,94.92,5.08,11.86,87.89,82.67,Torino,10,Scientifico
TOPS04000B,GALILEO FERRARIS,CSO MONTEVECCHIO 67,http://www.liceogalfer.it/pvw/app/TOLS0005/pvw_sito.php,0,1,1,1272,Torino,275,81.92,78.9,85.16,85.26,27.43,7.31,94.56,5.44,10.76,85.14,80.31,Torino,10,Scientifico
TOPS120003,CARLO CATTANEO,VIA SOSTEGNO 4110,http://www.liceocattaneotorino.it/home.php?lang=it,0,1,1,1272,Torino,179,81.31,77.85,84.98,87.62,27.0,7.46,93.69,6.31,8.91,85.42,82.18,Torino,10,Scientifico
TOPS064011,IS COPERNICO-LUXEMBURG,CSO CAIO PLINIO 2,http://www.copernicoluxemburg.gov.it,0,1,1,1272,Torino,179,74.06,70.55,77.85,78.52,26.35,6.73,89.59,10.41,11.15,83.27,73.8,Torino,10,Scientifico
TOPS018017,ALBERT EINSTEIN,VIA BOLOGNA 183,http://www.liceoeinsteintorino.it/,0,1,1,1272,Torino,41,72.7,66.52,79.35,75.41,26.4,6.51,95.16,4.84,8.87,80.76,74.67,Torino,10,Scientifico
TOPS340002,GOBETTI,VIA MARIA VITTORIA 39BIS,http://www.lsgobettitorino.gov.it/web/,0,1,1,1272,Torino,124,72.29,68.34,76.63,74.38,26.42,6.56,91.98,8.02,13.9,83.78,78.27,Torino,10,Scientifico
TOPS07500A,SAN GIUSEPPE,VIA SAN FRANCESCO DA PAOLA 23,http://www.collegiosangiuseppe.it/Objects/Home1.asp,1,1,1,1272,Torino,12,72.23,59.84,86.27,68.46,27.12,3.6,75.0,25.0,13.89,84.41,82.78,Torino,10,Scientifico
TOPS020006,ALESSANDRO VOLTA,VIA FILIPPO JUVARRA 14,http://www.liceovoltatorino.it/,0,1,1,1272,Torino,94,71.1,66.74,75.73,77.98,25.71,6.26,94.72,5.28,8.45,83.55,73.53,Torino,10,Scientifico
TOPS00301D,ETTORE MAJORANA,VIA FRATTINI 1115,http://www.majoranatorino.gov.it/wordpress/,0,1,1,1272,Torino,79,68.99,64.33,73.98,74.51,25.61,7.19,95.4,4.6,10.04,84.29,75.36,Torino,10,Scientifico
TOPS105001,VALSALICE,VLE ENRICO THOVEZ 37,http://www.liceovalsalice.it/,1,1,1,1272,Torino,51,68.36,62.65,74.5,72.81,25.67,7.97,91.56,8.44,11.69,85.49,84.85,Torino,10,Scientifico
TOPS30000G,FILIPPO JUVARRA,VIA BUOZZI 16,http://www.liceojuvarra.it/,0,1,1,1292,Venaria Reale,42,64.94,58.67,71.74,67.81,25.45,7.33,89.76,10.24,10.24,85.37,80.69,Torino,10,Scientifico
TOPS22000X,GIORDANO BRUNO,VIA MARINUZZI 1,http://www.gbruno.it/,0,1,1,1272,Torino,35,62.04,55.13,69.8,64.81,25.11,6.64,87.62,12.38,13.33,84.05,74.69,Torino,10,Scientifico
TOPS005004,SACRA FAMIGLIA,VIA ROSALINO PILO 24,http://www.collegiosacrafamiglia.it,1,1,1,1272,Torino,23,60.82,50.7,71.93,66.07,24.67,7.1,89.13,10.87,10.87,81.17,78.8,Torino,10,Scientifico
TOPS09500G,ISTITUTO SOCIALE,CSO SIRACUSA 10,http://www.istitutosociale.it/#sthash.lip1EdSt.dpbs,1,1,1,1272,Torino,25,57.08,49.18,65.85,65.16,23.88,7.67,90.79,9.21,15.79,82.42,82.29,Torino,10,Scientifico
TOPS76500T,SANT'ANNA,VIA MASSENA 36,http://www.istituto-santanna.it/,1,1,1,1272,Torino,28,52.19,44.29,60.61,64.38,22.8,0.0,82.14,17.86,8.33,80.55,82.13,Torino,10,Scientifico
TOPS01500P,CAIROLI,VIA SANTA TERESA 20,http://www.liceocairoli.eu/,1,1,1,1272,Torino,22,38.08,29.29,48.38,39.55,22.39,0.0,80.88,19.12,19.12,78.63,70.0,Torino,10,Scientifico
TOPS05101V,AMEDEO AVOGADRO,CSO SAN MAURIZIO 8,http://www.itisavogadro.it,0,1,1,1272,Torino,49,62.5,56.65,68.91,64.84,25.22,4.78,89.86,10.14,12.84,84.23,72.67,Torino,10,Scientifico - Scienze applicate
TOIS061003,GIUSEPPE PEANO,CSO VENEZIA 29,http://www.peano.it,0,1,1,1272,Torino,24,58.57,50.13,68.1,62.75,24.53,6.25,83.33,16.67,16.67,78.15,69.83,Torino,10,Scientifico - Scienze applicate
TOPS047017,GALILEI - FERRARI,VIA GAIDANO 126,http://www.galileiferrari.it/,0,1,1,1272,Torino,22,50.59,39.53,63.77,50.88,24.04,6.28,77.27,22.73,15.91,84.47,72.3,Torino,10,Scientifico - Scienze applicate
TOTF043012,PRIMO LEVI,CSO UNIONE SOVIETICA 490,http://www.istitutoprimolevi.gov.it/,0,1,1,1272,Torino,86,47.04,42.15,52.79,48.51,23.47,4.74,76.92,23.08,15.77,78.99,72.22,Torino,10,Scientifico - Scienze applicate
TOPS20500T,MADRE MAZZARELLO,VIA CUMIANA 2,http://www.mazzarello.it/,1,1,1,1272,Torino,26,42.5,34.62,52.06,41.2,23.26,8.57,87.34,12.66,24.05,80.3,69.5,Torino,10,Scientifico - Scienze applicate
TOPSQB5003,LICEO JUVENTUS,VIA TRAVES 28,http://www.juventus.com/it/club/j-college/,1,1,1,1272,Torino,10,47.22,33.54,65.01,29.22,25.83,0.0,70.97,29.03,29.03,86.05,79.38,Torino,10,Scientifico - Sportivo
TOPM120004,DOMENICO BERTI,VIA DUCHESSA JOLANDA 27BIS,http://www.liceoberti.gov.it/,0,1,1,1272,Torino,82,61.02,56.17,66.42,62.51,25.14,5.85,83.0,17.0,14.98,84.79,78.14,Torino,10,Scienze Umane
TOPM034016,CURIE (IS CURIE - VITTORINI),CSO ALLAMANO 120130,http://www.liceomcurie.gov.it/pvw/app/TOII0032/pvw_sito.php,0,1,1,1120,Grugliasco,55,60.75,54.85,67.13,64.11,24.89,5.41,78.92,21.08,10.84,83.85,77.03,Torino,10,Scienze Umane
TOPM018018,ALBERT EINSTEIN,VIA BOLOGNA 183,http://www.liceoeinsteintorino.it/,0,1,1,1272,Torino,87,58.12,53.24,63.55,54.6,25.4,5.09,77.1,22.9,13.36,80.27,77.02,Torino,10,Scienze Umane
TOPM050003,REGINA MARGHERITA,VIA VALPERGA CALUSO 12,http://www.istitutoreginamargherita.it/index.php?lang=it,0,1,1,1272,Torino,127,52.17,47.92,56.92,53.99,24.04,6.49,74.15,25.85,12.79,84.37,78.01,Torino,10,Scienze Umane
TOPM035001,MARIA AUSILIATRICE,PZZA MARIA AUSILIATRICE 27,http://www.istitutomariausiliatrice.it/newhome/index.html,1,1,1,1272,Torino,14,49.78,39.02,62.7,49.11,24.06,8.11,83.72,16.28,16.28,84.14,74.14,Torino,10,Scienze Umane
TOTE058011,SANTORRE DI SANTAROSA,CSO PESCHIERA 230,http://www.iissantorre.gov.it/santorre/,0,1,1,1272,Torino,40,57.68,50.61,65.14,63.49,24.22,6.32,73.33,26.67,7.5,82.58,72.34,Torino,10,Scienze Umane - Economico sociale
TOPQ04500Q,MADRE MAZZARELLO,VIA CUMIANA 2,http://www.mazzarello.it/,1,1,1,1272,Torino,29,38.32,29.83,48.63,33.0,23.24,8.13,67.82,32.18,21.84,82.25,77.43,Torino,10,Scienze Umane - Economico sociale
TOPQ475003,ISTITUTO FLORA,VIA SAN FRANCESCO DA PAOLA 42,http://www.istituto-flora.edu.it/,1,1,1,1272,Torino,10,33.62,20.22,48.76,30.96,22.35,6.0,76.67,23.33,13.33,81.87,79.14,Torino,10,Scienze Umane - Economico sociale
TOPMP2500E,SAVOIA,PZZA SOLFERINO 9,,1,1,1,1272,Torino,0,,,,,,0.0,,,,,,Torino,10,Scienze Umane - Economico sociale
TOPL20500L,MADRE MAZZARELLO,VIA CUMIANA 2,http://www.mazzarello.it/,1,1,1,1272,Torino,25,51.75,43.62,60.75,56.44,23.65,8.57,86.67,13.33,14.67,84.34,80.8,Torino,10,Linguistico
TOPL03500P,VITTORIA,VIA DELLE ROSINE 14,http://vittoriaweb.it/,1,1,1,1272,Torino,47,45.25,38.62,53.24,40.13,24.04,0.0,70.92,29.08,21.28,82.55,80.05,Torino,10,Linguistico
TOSL020003,RENATO COTTINI,VIA CASTELGOMBERTO 20,http://www.liceocottini.it/,0,1,1,1272,Torino,150,52.55,47.92,57.99,46.64,25.01,5.42,50.89,49.11,13.33,80.63,78.55,Torino,10,Artistico
TOSL01000C,PRIMO LICEO ARTISTICO,VIA CARCANO 31,http://www.primoart.it/,0,1,1,1272,Torino,147,50.77,45.62,56.89,42.77,25.05,6.29,39.95,60.05,10.38,84.16,80.17,Torino,10,Artistico
TOSD02000L,ALDO PASSONI,VIA DELLA ROCCA 7,http://www.lapassoni.gov.it/,0,1,1,1272,Torino,175,41.71,37.01,47.72,34.43,23.88,6.75,41.44,58.56,13.88,84.14,79.71,Torino,10,Artistico
TOTD090008,GERMANO SOMMEILLER,CSO DUCA DEGLI ABRUZZI 20,http://itcssommeiller.it/,0,1,1,1272,Torino,106,48.45,43.92,53.55,50.72,23.54,5.46,75.86,24.14,15.05,82.32,73.83,Torino,10,Tecnico - Economico
TOTD034022,VITTORINI (IS CURIE - VITTORINI),CSO ALLAMANO 120130,http://www.liceomcurie.gov.it/pvw/app/TOII0032/pvw_sito.php,0,1,1,1120,Grugliasco,50,47.51,40.58,55.91,45.33,23.96,5.73,60.26,39.74,17.88,85.51,73.83,Torino,10,Tecnico - Economico
TOTD067018,LEVI (IS CURIE-LEVI),VIA MADONNA DE LA SALETTE 29,http://www.iiscurielevi.it/,0,1,1,1272,Torino,77,47.0,41.24,53.5,48.68,23.44,4.87,59.23,40.77,12.45,84.88,74.86,Torino,10,Tecnico - Economico
TOTD06401R,IS COPERNICO-LUXEMBURG,CSO CAIO PLINIO 6,http://www.copernicoluxemburg.gov.it,0,1,1,1272,Torino,65,46.05,40.05,53.36,43.64,23.81,4.93,63.45,36.55,18.78,82.53,71.04,Torino,10,Tecnico - Economico
TOTD05301A,BOSSO - MONTI,VIA MEUCCI 9,http://sites.google.com/a/bossomonti.it/home/home,0,1,1,1272,Torino,64,44.74,38.12,52.32,43.78,23.48,4.38,52.6,47.4,11.98,84.86,75.16,Torino,10,Tecnico - Economico
TOTD003019,ETTORE MAJORANA,CSO TAZZOLI 209,http://www.majoranatorino.gov.it/wordpress/,0,1,1,1272,Torino,41,42.64,34.8,51.49,47.58,22.53,5.19,56.45,43.55,12.1,83.1,75.43,Torino,10,Tecnico - Economico
TOTD05201E,PAOLO BOSELLI,VIA MONTECUCCOLI 12,http://www.istitutoboselli.it,0,1,1,1272,Torino,54,41.97,33.61,52.05,38.44,23.46,2.77,37.65,62.35,9.26,81.38,73.9,Torino,10,Tecnico - Economico
TOTD03701C,SELLA - AALTO - LAGRANGE,VIA RAIMONDO MONTECUCCOLI 12,http://www.sellaaaltolagrange.gov.it/,0,1,1,1272,Torino,72,41.86,36.01,48.44,43.48,22.83,4.67,61.57,38.43,12.04,83.41,73.72,Torino,10,Tecnico - Economico
TOTD068014,RUSSELL - MORO - GUARINI,CSO MOLISE 58,http://www.russell-moro-guarini.edu.it/,0,1,1,1272,Torino,146,41.54,36.89,46.99,41.03,23.05,4.26,51.14,48.86,12.27,82.58,76.12,Torino,10,Tecnico - Economico
TOTD06602D,GOBETTI MARCHESINI-CASALE-ARDUINO,VIA FIGLIE DEI MILITARI 25,http://www.gmca.edu.it/,0,1,1,1272,Torino,40,37.94,30.82,46.39,37.93,22.55,4.12,70.49,29.51,20.49,75.19,75.39,Torino,10,Tecnico - Economico
TOTD04201X,GIOVANNI GIOLITTI,VIA ALASSIO 20,http://www.istitutogiolitti.gov.it/,0,1,1,1272,Torino,24,32.9,21.51,46.97,28.26,22.5,3.72,43.84,56.16,15.07,82.47,77.07,Torino,10,Tecnico - Economico
TOTD054016,CARLO IGNAZIO GIULIO,VIA GIORGIO BIDONE 11,http://www.istitutogiulio.it/,0,1,1,1272,Torino,32,31.76,22.99,43.09,29.21,22.12,4.1,56.12,43.88,20.41,80.4,72.98,Torino,10,Tecnico - Economico
TOTF051011,AMEDEO AVOGADRO,CSO SAN MAURIZIO 8,http://www.itisavogadro.it/,0,1,1,1272,Torino,149,56.73,52.24,61.8,60.88,24.31,3.89,55.26,44.74,10.29,81.98,72.94,Torino,10,Tecnico - Tecnologico
TOTL03401B,VITTORINI (IS CURIE - VITTORINI),CSO ALLAMANO 120130,http://www.iiscurievittorini.gov.it,0,1,1,1120,Grugliasco,34,54.89,45.78,65.18,56.65,24.38,5.68,49.51,50.49,10.68,85.31,75.04,Torino,10,Tecnico - Tecnologico
TOTL06801E,RUSSELL - MORO - GUARINI,VIA SALERNO 60,http://www.russell-moro-guarini.edu.it/,0,1,1,1272,Torino,43,52.69,44.26,62.64,42.14,25.59,4.71,46.51,53.49,13.18,81.07,74.13,Torino,10,Tecnico - Tecnologico
TOTF06601P,GOBETTI MARCHESINI-CASALE-ARDUINO,VIA ROVIGO 19,http://www.gmca.edu.it/,0,1,1,1272,Torino,115,51.83,47.22,57.33,51.72,24.23,6.84,66.76,33.24,14.45,80.79,71.63,Torino,10,Tecnico - Tecnologico
TOTL03701V,SELLA - AALTO - LAGRANGE,VIA PAOLO BRACCINI 11,http://www.sellaaaltolagrange.gov.it/,0,1,1,1272,Torino,28,49.06,37.82,61.96,51.02,23.65,5.5,38.37,61.63,9.3,81.0,73.62,Torino,10,Tecnico - Tecnologico
TOTF06101G,GIUSEPPE PEANO,CSO VENEZIA 29,http://www.peano.it/,0,1,1,1272,Torino,97,48.66,42.84,55.71,44.24,24.37,4.07,45.89,54.11,13.36,82.56,72.42,Torino,10,Tecnico - Tecnologico
TOTF10000X,ETTORE MAJORANA,VIA FRANCESCO BARACCA 80,http://www.itismajo.it/SitePages/Homepage.aspx,0,1,1,1120,Grugliasco,200,46.97,42.82,52.05,42.72,24.15,5.33,49.67,50.33,14.5,83.29,73.18,Torino,10,Tecnico - Tecnologico
TOTF01500R,EDOARDO AGNELLI,CSO UNIONE SOVIETICA 362,http://www.istitutoagnelli.it/index.php,1,1,1,1272,Torino,35,44.63,36.08,55.49,40.74,23.82,6.59,54.72,45.28,19.81,88.26,78.0,Torino,10,Tecnico - Tecnologico
TOTF14000A,CARLO GRASSI,VIA PAOLO VERONESE 305,http://www.itisgrassi.it/,0,1,1,1272,Torino,257,40.41,36.39,45.79,34.93,23.51,5.28,41.01,58.99,16.17,87.94,80.4,Torino,10,Tecnico - Tecnologico
TOTF047019,FERRARI (IS GALILEI - FERRARI),VIA GAIDANO 126,http://www.galileiferrari.it/,0,1,1,1272,Torino,45,40.37,31.81,50.81,41.45,22.71,4.85,42.65,57.35,13.24,78.19,72.68,Torino,10,Tecnico - Tecnologico
TOTF013016,BODONI - PARAVIA,VIA PONCHIELLI 56,http://www.bodoniparavia.it/index.php/it/,0,1,1,1272,Torino,69,,,,,,4.36,,,,,,Torino,10,Tecnico - Tecnologico
TOTF048015,ROMOLO ZERBONI,VIA PAOLO DELLA CELLA 3,http://www.iiszerboni.it/,0,1,1,1272,Torino,42,,,,,,3.79,,,,,,Torino,10,Tecnico - Tecnologico
ALPS050005,EDOARDO AMALDI,VIA MAMELI 9,http://www.liceoamaldi.net/,0,6,1,6114,Novi Ligure,27,78.92,71.36,86.97,79.08,27.45,8.26,93.83,6.17,11.11,88.13,76.6,Alessandria,10,Classico
ALPC01601G,UMBERTO ECO,VIA FAA' DI BRUNO 85,http://www.saluzzo-plana.gov.it/itm/,0,6,1,6003,Alessandria,42,77.12,70.96,83.71,73.87,27.64,5.51,92.97,7.03,11.72,87.31,78.78,Alessandria,10,Classico
ALPS020009,GIUSEPPE PEANO,VLE VITTORIO VENETO 3,http://www.liceopeano.it/,0,6,1,6174,Tortona,22,63.19,54.75,72.34,66.0,25.24,8.68,89.55,10.45,13.43,87.2,84.0,Alessandria,10,Classico
ALPS01000P,GALILEO GALILEI,SPALTO BORGOGLIO 49,http://www.scientificogalilei.gov.it/,0,6,1,6003,Alessandria,109,75.68,71.51,80.13,82.02,26.32,7.92,92.05,7.95,10.7,86.83,78.08,Alessandria,10,Scientifico
ALPS005007,ALEXANDRIA,VIA DON LUIGI ORIONE 1,http://www.alexandriainternationalschool.org/,1,6,1,6003,Alessandria,11,52.28,38.89,68.33,52.84,24.2,0.0,67.65,32.35,20.59,79.13,76.27,Alessandria,10,Scientifico
ALTF01000R,ALESSANDRO VOLTA,SPALTO MARENGO 42,http://www.volta-alessandria.it/,0,6,1,6003,Alessandria,55,66.6,60.82,72.86,73.68,25.14,7.01,82.53,17.47,11.45,86.34,75.48,Alessandria,10,Scientifico - Scienze applicate
ALPS00401C,BENVENUTO CELLINI,STRADA PONTECURONE 17,http://www.istitutocellini.it/wordpress/,0,6,1,6177,Valenza,42,58.55,52.04,65.86,63.12,24.48,8.29,82.68,17.32,16.54,87.47,78.64,Alessandria,10,Scientifico - Scienze applicate
ALPM01601Q,UMBERTO ECO,VIA FAA' DI BRUNO 85,http://www.saluzzo-plana.gov.it/itm/,0,6,1,6003,Alessandria,57,53.61,47.68,60.1,55.28,24.23,5.59,75.44,24.56,11.7,84.78,76.07,Alessandria,10,Scienze Umane
ALPMQR5008,ALEXANDRIA,VIA DON LUIGI ORIONE 1,http://www.alexandriainternationalschool.org/,1,6,1,6003,Alessandria,0,,,,,,0.0,,,,,,Alessandria,10,Scienze Umane - Economico sociale
ALSD00101B,JONA OTTOLENGHI (IS PARODI),VIA DE GASPERI 66,http://www.istitutoparodi.gov.it,0,6,1,6001,Acqui Terme,34,55.2,44.7,67.21,53.85,24.79,6.52,36.54,63.46,8.65,86.39,83.26,Alessandria,10,Artistico
ALSL004019,BENVENUTO CELLINI,STRADA PONTECURONE 6,http://www.istitutocellini.it/wordpress/,0,6,1,6177,Valenza,57,48.48,39.98,58.54,41.01,24.71,6.29,34.1,65.9,9.83,88.97,80.48,Alessandria,10,Artistico
PVSLMT5003,BLAISE PASCAL,VIA ISCHIA 1,http://www.istitutobpascal.it/,1,18,3,18182,Voghera,0,,,,,,0.0,,,,,,Alessandria,10,Artistico
ALTD004018,BENVENUTO CELLINI,STRADA PONTECURONE 17,http://www.istitutocellini.it/wordpress/,0,6,1,6177,Valenza,40,48.1,39.09,59.09,41.19,24.6,6.67,43.33,56.67,14.17,85.35,73.03,Alessandria,10,Tecnico - Economico
ALTD00601X,VINCI - NERVI - FERMI - MIGLIARA,VIA TROTTI 1719,http://www.vincialessandria.it/,0,6,1,6003,Alessandria,75,46.71,40.94,53.24,49.43,23.28,5.58,60.89,39.11,12.0,83.23,73.65,Alessandria,10,Tecnico - Economico
ALTL00601A,VINCI - NERVI - FERMI - MIGLIARA,VIA MORBELLI 33,http://www.vincialessandria.it/,0,6,1,6003,Alessandria,17,37.39,24.02,58.76,20.41,24.52,3.38,44.23,55.77,26.92,88.52,78.24,Alessandria,10,Tecnico - Tecnologico
CNPC007015,GIUSEPPE GOVONE,VIA TEOBALDO CALISSANO 8,http://www.classicogovone.it/,0,4,1,4003,Alba,56,78.56,73.17,84.32,80.86,27.15,7.66,95.27,4.73,10.65,86.35,80.63,Asti,10,Classico
ATPC00301E,VITTORIO ALFIERI,CSO ALFIERI 367,http://www.istitutovalfieri.gov.it/,0,5,1,5005,Asti,64,68.75,63.57,74.46,66.6,26.51,7.31,91.67,8.33,14.06,86.18,87.31,Asti,10,Classico
ATPS01000Q,FRANCESCO VERCELLI,VIA DELL'ARAZZERIA 6,http://www.scientifico.asti.it/,0,5,1,5005,Asti,52,86.93,81.38,92.75,91.16,27.92,7.45,96.79,3.21,8.97,83.54,70.2,Asti,10,Scientifico
ATPS00201T,NICOLA PELLATI,VIA IV NOVEMBRE 40,http://www.pellatinizza.edu.it/,0,5,1,5080,Nizza Monferrato,30,76.52,69.3,84.31,81.69,26.56,7.76,91.3,8.7,11.96,83.98,78.5,Asti,10,Scientifico
ATPM01000R,AUGUSTO MONTI,PZZA UMBERTO CAGNI 2,http://www.istitutostatalemonti.com/,0,5,1,5005,Asti,30,73.7,66.45,81.66,77.35,26.41,4.75,92.22,7.78,12.22,82.95,74.86,Asti,10,Scientifico - Scienze applicate
