cod_scuola,tasso_precariato_docenti_pct,pct_tempo_indeterminato,fasce_eta_tempo_determinato,fasce_eta_tempo_indeterminato,anno_scolastico_personale,trasferiti_pct_scuola,trasferiti_pct_regione,trasferiti_pct_italia,pensionati_pct_scuola,pensionati_pct_regione,pensionati_pct_italia
TOPC01000C,19.2,80.8,"[6.4, 8.0, 4.0, 0.8]","[3.2, 12.8, 26.4, 38.4]",Docenti per fasce di età (%) (A.S. 2025/26),1.0,5.5,6.0,0.0,3.5,3.6
TOPC090009,8.0,92.1,"[4.4, 1.8, 0.9, 0.9]","[4.4, 10.5, 28.1, 49.1]",Docenti per fasce di età (%) (A.S. 2025/26),1.0,5.5,6.0,3.9,3.5,3.6
TOPC10000P,7.199999999999999,92.8,"[2.9, 2.9, 0.0, 1.4]","[0.0, 2.9, 17.4, 72.5]",Docenti per fasce di età (%) (A.S. 2025/26),3.0,5.5,6.0,4.5,3.5,3.6
TOPC070004,13.3,86.7,"[8.0, 5.3, 0.0, 0.0]","[2.7, 8.0, 36.0, 40.0]",Docenti per fasce di età (%) (A.S. 2025/26),1.6,5.5,6.0,7.9,3.5,3.6
TOPC075007,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
TOPS20000P,22.3,77.4,"[13.7, 3.7, 1.2, 3.7]","[6.2, 12.5, 27.5, 31.2]",Docenti per fasce di età (%) (A.S. 2025/26),8.1,5.5,6.0,6.3,3.5,3.6
TOPC06500L,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
TOPS034015,25.2,74.8,"[6.1, 8.9, 6.5, 3.7]","[2.8, 15.9, 22.9, 33.2]",Docenti per fasce di età (%) (A.S. 2025/26),6.3,5.5,6.0,6.5,3.5,3.6
TOPS04500E,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
TOPS270001,18.7,81.4,"[4.0, 6.7, 6.7, 1.3]","[4.0, 10.7, 30.7, 36.0]",Docenti per fasce di età (%) (A.S. 2025/26),0.0,5.5,6.0,1.6,3.5,3.6
TOPS04000B,6.8,93.3,"[5.8, 1.0, 0.0, 0.0]","[1.0, 10.7, 27.2, 54.4]",Docenti per fasce di età (%) (A.S. 2025/26),2.1,5.5,6.0,4.2,3.5,3.6
TOPS120003,11.5,88.5,"[3.3, 6.6, 1.6, 0.0]","[0.8, 13.1, 23.0, 51.6]",Docenti per fasce di età (%) (A.S. 2025/26),3.6,5.5,6.0,4.4,3.5,3.6
TOPS064011,24.3,75.7,"[10.4, 10.9, 2.0, 1.0]","[5.9, 13.9, 17.8, 38.1]",Docenti per fasce di età (%) (A.S. 2025/26),3.3,5.5,6.0,5.3,3.5,3.6
TOPS018017,25.7,74.1,"[8.6, 10.9, 3.1, 3.1]","[3.9, 15.6, 23.4, 31.2]",Docenti per fasce di età (%) (A.S. 2025/26),3.0,5.5,6.0,6.3,3.5,3.6
TOPS340002,14.4,85.6,"[3.1, 6.2, 4.1, 1.0]","[2.1, 17.5, 28.9, 37.1]",Docenti per fasce di età (%) (A.S. 2025/26),6.0,5.5,6.0,3.6,3.5,3.6
TOPS07500A,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
TOPS020006,16.9,83.19999999999999,"[3.9, 7.8, 2.6, 2.6]","[0.0, 6.5, 33.8, 42.9]",Docenti per fasce di età (%) (A.S. 2025/26),3.0,5.5,6.0,7.4,3.5,3.6
TOPS00301D,17.9,82.1,"[5.0, 8.6, 2.9, 1.4]","[5.8, 21.6, 22.3, 32.4]",Docenti per fasce di età (%) (A.S. 2025/26),3.7,5.5,6.0,3.6,3.5,3.6
TOPS105001,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
TOPS30000G,18.9,81.1,"[2.2, 10.0, 6.7, 0.0]","[12.2, 20.0, 21.1, 27.8]",Docenti per fasce di età (%) (A.S. 2025/26),1.5,5.5,6.0,1.6,3.5,3.6
TOPS22000X,20.1,80.0,"[10.5, 5.7, 2.9, 1.0]","[3.8, 25.7, 23.8, 26.7]",Docenti per fasce di età (%) (A.S. 2025/26),6.0,5.5,6.0,4.9,3.5,3.6
TOPS005004,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
TOPS09500G,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
TOPS76500T,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
TOPS01500P,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
TOPS05101V,23.1,76.89999999999999,"[5.9, 7.0, 7.5, 2.7]","[2.7, 12.9, 20.4, 40.9]",Docenti per fasce di età (%) (A.S. 2025/26),2.2,5.5,6.0,7.1,3.5,3.6
TOIS061003,34.0,65.9,"[19.0, 6.3, 7.1, 1.6]","[12.7, 14.3, 11.9, 27.0]",Docenti per fasce di età (%) (A.S. 2025/26),18.8,5.5,6.0,3.9,3.5,3.6
TOPS047017,40.5,59.7,"[17.3, 13.5, 7.1, 2.6]","[10.3, 16.7, 16.7, 16.0]",Docenti per fasce di età (%) (A.S. 2025/26),3.5,5.5,6.0,3.6,3.5,3.6
TOTF043012,25.5,74.5,"[10.5, 9.0, 4.5, 1.5]","[5.3, 21.8, 21.8, 25.6]",Docenti per fasce di età (%) (A.S. 2025/26),6.5,5.5,6.0,5.3,3.5,3.6
TOPS20500T,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
TOPSQB5003,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
TOPM120004,19.2,80.8,"[4.3, 11.2, 2.5, 1.2]","[3.7, 16.8, 22.4, 37.9]",Docenti per fasce di età (%) (A.S. 2025/26),4.5,5.5,6.0,3.3,3.5,3.6
TOPM034016,25.2,74.8,"[6.1, 8.9, 6.5, 3.7]","[2.8, 15.9, 22.9, 33.2]",Docenti per fasce di età (%) (A.S. 2025/26),6.3,5.5,6.0,6.5,3.5,3.6
TOPM018018,25.7,74.1,"[8.6, 10.9, 3.1, 3.1]","[3.9, 15.6, 23.4, 31.2]",Docenti per fasce di età (%) (A.S. 2025/26),3.0,5.5,6.0,6.3,3.5,3.6
TOPM050003,24.1,76.0,"[7.0, 10.7, 5.3, 1.1]","[7.0, 16.6, 25.7, 26.7]",Docenti per fasce di età (%) (A.S. 2025/26),4.3,5.5,6.0,5.0,3.5,3.6
TOPM035001,,,,,Docenti per fasce di età (%) (A.S. 2025/26),,,,,,
