"cod_scuola","nome_scuola","indirizzo_scuola","sito_scuola","scuola_paritaria","id_provincia","id_regione","id_comune","comune_scuola","num_diplomati_x_coorte","indice_fga","fga_forchetta_bassa","fga_forchetta_alta","indice_perc_cfu","indice_media_voti","completamento_pct","tasso_immatricolazione_pct","tasso_non_immatricolazione_pct","abbandono_pct","voto_medio_immatricolati","voto_medio_non_immatricolati","comune_di_ricerca","raggio_km_ricerca","tipologia_ricerca","tasso_precariato_docenti_pct","pct_tempo_indeterminato","fasce_eta_tempo_determinato","fasce_eta_tempo_indeterminato","anno_scolastico_personale","trasferiti_pct_scuola","trasferiti_pct_regione","trasferiti_pct_italia","pensionati_pct_scuola","pensionati_pct_regione","pensionati_pct_italia","ANNOSCOLASTICO","ORDINESCUOLA","ANNOCORSOCLASSE","CLASSI","ALUNNIMASCHI","ALUNNIFEMMINE","sigla_provincia","denominazione_provincia","id_regione (Right)","Provincia","Regione","Sigla Provincia","Alunni Totali","Percentuale Alunni ITA","Percentuale Alunni NITA","Totale alunni Femmine","Totale Alunni Maschi","Media Alunni per classe","Totale Classi","Percentuali Alunni Femmine","Percentuali Alunni Maschi","ATA titolari","ATA supplenti","Totale ATA","Percentuale ATA titolari","Percentuali ATA Supplenti","Docenti Totali","Docenti titolari","Docenti Supplenti","Percentuali Docenti Titolari","Percentuali Docenti Supplenti","Posti vacanti per Docente Normale","Posti vacanti per Docente Sostegno","Totale Posti vacanti","Punteggio Invalsi Inglese Listening","Punteggio Invalsi Inglese Reading","Punteggio Invalsi Italiano","Punteggio Invalsi Matematica)","Participation in life-long learning","Participation in the school system of children aged 4-5","People having completed tertiary education (ISCED 5 6 7 or 8)","People not in education employment or training (NEET)","People with at least upper secondary education level (25-64 years old)","Average annual per capita amount of pension income","Average annual salary of employees","Average disposable income per capita","Bad loan entry rate of bank loans to households","Brain circulation (Italians 25-39 years old)","Burglaries reported","Deadly crimes reported","Electricity from renewable sources","Employment rate (20-64 years old)","Hospital patient emigration to a different region","Inadequate level of literacy (students in grade 8)","Inadequate level of numeracy (students in grade 8)","Intentional homicide rate","Irregularities in electric power distribution","Life expectancy at birth","Medical specialists","Municipal councilors under the age of 40","Municipal waste generated","Non-participation rate","Overall Fixed Very High Capacity Network (VHCN) coverage","PM10 Annual average concentration","PM2.5 Annual average concentration","Paid days in the year (employees)","Pensioners with a low pension income","Pick-pocketings reported","Prison density","Road accidents mortality rate (15-34 years old)","Road mortality in non-urban roads","Robberies reported","Seat-Km of public transport networks","Separate collection of municipal waste","Separate collection service for municipal waste","Soil sealing from artificial land cover","Spread of agritourism farms","Urban green","Voter turnout (Regional Councils)","Women municipal councilors","Youth's employment rate (15-29 years old)","Youth's non-participation rate","codice_provincia","anno","Pop25Y0","Pop25Y1","Pop25Y2","Pop25Y3","Pop25Y4","Pop25Y5","Pop25Y6","Pop25Y7","Pop25Y8","Pop25Y9","Pop25Y10","Pop25Y11","Pop25Y12","Pop25Y13","Pop25Y14","Pop25Y15","Pop25Y16","Pop25Y17","Pop25Y18","Pop25Y19","Pop25Y20","area","Indice di svantaggio","Stipendio Medio"
"RMPC320006","EUGENIO MONTALE","VIA DI BRAVETTA 545","http://www.liceomontaleroma.it/",0,58,12,58091,"Roma",58,73.9,68.52,79.59,73.97,26.86,6.8,92.05,7.95,8.52,87.57,81.5,"Roma",10,"Classico",14.4,85.7,"[3.0, 5.4, 4.8, 1.2]","[7.2, 10.2, 23.4, 44.9]","Docenti per fasce di età (%) (A.S. 2025/26)",5.2,6.5,6,3.9,4,3.6,202425,"SCUOLA SECONDARIA II GRADO",5,13,61,219,"RM","Roma",12,"Roma","Lazio","RM",176941,89.97,10.03,86772,90169,20.30730019493178,8311,49.040075505394455,50.959924494605545,10630,3946,14576,72.93,27.07,21730,16373,5357,75.35,24.65,948,"71",1.019,209.8201899844155,199.07782288492098,175.879465393067,180.797606811598,15.5,87.1,42.2,12.1,77.8,25232.1,25293.8,25507.9,0.6,13.6,318.4,3.5,7.1,70.4,5.3,35,42.9,0.6,2.2,83.2,48.7,22.1,528,11.6,78.8,31,13,77.4,10.5,754.5,126.4,0.5,2.6,71.3,7213,53,24.7,13.18,6.2,17.2,35.2,33,33.3,23.5,"ITE43",2025,25447,26698,27721,29001,29416,30857,32793,34027,35696,36813,38258,38520,41008,41051,41844,42065,42431,42795,42735,41635,42090,"Centro",-1.11,"1719.74"
"TVTN01000N","GIUSEPPE MAZZOTTI","VIA TRONCONI 1","http://www.ittmazzotti.gov.it/",0,26,5,26086,"Treviso",307,57.1,53.61,60.96,61.48,24.33,6.42,52.82,47.18,9.65,85.83,77.09,"Treviso",10,"Tecnico - Economico",14.7,85.2,"[7.7, 4.5, 1.9, 0.6]","[2.6, 13.5, 23.9, 45.2]","Docenti per fasce di età (%) (A.S. 2025/26)",3.2,5.8,6,4,3.8,3.6,202425,"SCUOLA SECONDARIA II GRADO",5,14,75,213,"TV","Treviso",5,"Treviso","Veneto","TV",37788,89.43,10.57,18738,19050,19.894707207207205,1811,49.587170530327086,50.412829469672914,2369,888,3257,72.74,27.26,4630,3456,1174,74.64,25.36,466,"63",529,225.8188279765265,212.2443470192125,188.9119258773345,198.36582525984352,11.5,91.3,24.5,11.6,67,21796,25358.3,23521.7,0.6,-9.6,306,2,25.9,74.7,6.6,33.6,33.7,0.8,1.9,84.4,22.1,25.3,414,8,50.7,32,21,84.2,6.3,53.6,160.9,1.1,5.7,18.7,3029,89.1,100,16.65,14.2,24,,29.1,45.5,16,"ITD34",2025,5540,5797,6073,6194,6388,6413,6760,7181,7385,7586,7952,8169,8503,8515,8817,8931,9230,9204,9345,9309,9400,"Nord",-0.38,"1671.22"
"PDTA00601L","DUCA DEGLI ABRUZZI","VIA MERLIN 1","http://www.ducabruzzi.gov.it/",0,28,5,28060,"Padova",144,56.47,51.59,61.9,64.12,23.86,7.27,46.54,53.46,8.06,86.76,75.43,"Padova",10,"Tecnico - Tecnologico",19.8,80,"[6.6, 7.2, 4.2, 1.8]","[7.8, 11.4, 23.5, 37.3]","Docenti per fasce di età (%) (A.S. 2025/26)",5.8,5.8,6,4,3.8,3.6,202425,"SCUOLA SECONDARIA II GRADO",5,5,70,35,"PD","Padova",5,"Padova","Veneto","PD",37325,88.9,11.1,18731,18594,20.330975609756095,1765,50.18352310783657,49.81647689216343,2341,840,3181,73.59,26.41,4339,3269,1070,75.34,24.66,406,"53",459,227.80461455759576,214.80159470778273,190.78285972930473,202.04238093570876,14.4,93.8,38.1,8.3,70.1,22579.8,25486.2,24502.1,0.5,4.1,347.8,2,16.9,76.8,4.9,31.6,31.6,0.6,1.6,84.1,40.4,22.6,517,5.5,64.5,34,25,84.3,6,150,130.5,0.5,2.7,30.1,4481,75.8,77.7,18.61,9.4,44.9,,32.7,48.5,10.3,"ITD36",2025,5671,5715,6130,6378,6212,6583,6942,7191,7424,7661,7996,8330,8556,8616,8906,9072,9165,9098,9151,9019,9271,"Nord",-1.17,"1719.49"
"LOPS02000T","GIUSEPPE NOVELLO","VLE PAPA GIOVANNI XXIII 7","http://www.liceonovello.gov.it/",0,98,3,98019,"Codogno",18,72.1,63.08,82.27,71.21,26.76,8.39,94.55,5.45,20,87.02,75.67,"Piacenza",10,"Classico",23.2,76.9,"[9.0, 9.0, 2.6, 2.6]","[3.8, 15.4, 28.2, 29.5]","Docenti per fasce di età (%) (A.S. 2025/26)",0,5.4,6,1.7,3.5,3.6,202425,"SCUOLA SECONDARIA II GRADO",5,7,37,76,"LO","Lodi",3,"Lodi","Lombardia","LO",9812,86.76,13.24,4650,5162,18.37254901960784,518,47.39094985731757,52.60905014268243,695,240,935,74.33,25.67,1276,826,450,64.73,35.27,68,"10",78,220.122217284566,208.18129471513572,184.470795784193,195.54536231785573,9.1,92.7,22.4,13.4,59.2,23182.4,25459.9,20091.3,0.6,-1.4,253.4,0.9,50.2,73.1,11.6,34.3,38.2,0.4,1.7,83.4,21.9,19.1,422,7.8,41,30,21,84.4,6.8,95.2,191.1,0,3.3,35.8,1022,74.8,99.8,12.36,5.1,56.7,40.8,36.3,40.4,17.5,"ITC49",2025,1574,1547,1661,1726,1696,1854,1852,1988,2099,2124,2191,2140,2211,2250,2274,2473,2329,2376,2346,2351,2369,"Nord",0.03,"2000"
"TATD08000P","PITAGORA","VIA PUPINO 10A","http://www.pitagorataranto.gov.it/",0,73,16,73027,"Taranto",126,52.34,47.22,58.52,46.64,24.96,6.26,47.35,52.65,13.76,85.83,73.84,"Taranto",10,"Tecnico - Economico",29.7,70.2,"[2.7, 10.8, 11.7, 4.5]","[2.7, 7.2, 13.5, 46.8]","Docenti per fasce di età (%) (A.S. 2025/26)",6.4,7,6,7.8,4.1,3.6,202425,"SCUOLA SECONDARIA II GRADO",5,7,40,74,"TA","Taranto",16,"Taranto","Puglia","TA",26512,98.07,1.93,13224,13288,17.56413502109705,1428,49.87929993964997,50.12070006035003,2016,383,2399,84.04,15.96,3838,2939,899,76.58,23.42,182,"7",189,198.322656490634,196.18360090748627,172.39193795193052,177.8117899358795,7.7,97.4,17.9,28.5,52.7,19957.9,18219,15665.7,1.1,-42.5,151.9,2.9,18.9,47.5,10.6,42.8,52.4,0.5,4.3,82.6,23.5,20,486,33.2,50.2,33,17,74.1,12.2,35.7,180.4,1.1,8.9,15.5,3603,51.5,50.3,9.73,3.8,19.8,,33.3,16.3,62.7,"ITF43",2025,3220,3405,3482,3639,3659,3867,3992,4282,4357,4486,4851,4761,5113,5264,5426,5391,5447,5547,5606,5751,5854,"Sud",1.68,"1550"
"LCPS00901A","ANTONIO BADONI","VIA RIVOLTA 10","http://www.iisbadoni.gov.it/",0,97,3,97042,"Lecco",30,78.86,71.68,86.4,86.17,26.59,6.42,94.44,5.56,8.89,79.08,76.8,"Lecco",10,"Scientifico - Scienze applicate",11.4,88.6,"[6.1, 4.4, 0.9, 0.0]","[3.5, 16.7, 26.3, 42.1]","Docenti per fasce di età (%) (A.S. 2025/26)",2.1,5.4,6,4.2,3.5,3.6,202425,"SCUOLA SECONDARIA II GRADO",5,2,20,9,"LC","Lecco",3,"Lecco","Lombardia","LC",12896,91.68,8.32,6348,6548,20.287499999999994,608,49.22456575682382,50.77543424317618,875,362,1237,70.74,29.26,1512,1093,419,72.29,27.71,105,"10",115,230.08834740213376,217.67650722827773,196.5457505795685,204.8704290056505,15.1,94.5,35.9,9.2,66.3,23724,26766.8,24704.8,0.4,-7.9,307,3,8.1,73.5,2.7,27.2,28.3,0.6,1.3,84.4,24.6,19.2,489,4.6,36.2,19,14,84.9,6.3,67.2,132.1,0.9,3,33,2122,78.6,96.3,12.06,8.6,15.8,44.9,32.6,43.6,12.6,"ITC43",2025,2060,2080,2141,2158,2248,2433,2472,2728,2670,2969,2820,2981,3135,3198,3380,3371,3445,3396,3334,3458,3314,"Nord",-0.98,"2016.67"
"TOTL03701V","SELLA - AALTO - LAGRANGE","VIA PAOLO BRACCINI 11","http://www.sellaaaltolagrange.gov.it/",0,1,1,1272,"Torino",28,49.06,37.82,61.96,51.02,23.65,5.5,38.37,61.63,9.3,81,73.62,"Torino",10,"Tecnico - Tecnologico",37.9,62.2,"[11.4, 16.6, 7.8, 2.1]","[11.4, 16.6, 14.0, 20.2]","Docenti per fasce di età (%) (A.S. 2025/26)",8.3,5.5,6,3.9,3.5,3.6,202425,"SCUOLA SECONDARIA II GRADO",5,4,27,48,"TO","Torino",1,"Torino","Piemonte","TO",89889,87.79,12.21,44502,45387,19.309073170731704,4463,49.50772619564129,50.49227380435871,6246,2738,8984,69.52,30.48,12136,8240,3896,67.9,32.1,534,"93",627,216.09184602343777,203.32374450665725,183.27374921272624,191.49339529867174,12.8,93.9,33.1,12,70,23955.5,26426.4,25852.9,0.5,28.5,262.9,1.1,31.2,70.8,3.9,35.6,39.3,0.4,2.1,83.4,33.9,19.6,504,10.7,74.3,35,20,82.5,6.7,472.9,133.3,0.4,2.8,86.4,4592,64.1,40.6,8.58,3.6,27.9,,35,35,19.4,"ITC11",2025,12828,13138,13817,14288,14660,15123,15555,16400,17132,17635,18312,18890,19443,19714,20269,20774,20993,20780,20708,20968,21236,"Nord",-0.77,"1745.58"
"PVPM01000A","ADELAIDE CAIROLI","CSO MAZZINI 7","http://www.acairoli.it/",0,18,3,18110,"Pavia",92,60.23,55.59,65.36,61.66,25.06,6.39,82.97,17.03,11.96,83.88,75.98,"Pavia",10,"Scienze Umane",19.5,80.39999999999999,"[8.4, 4.7, 5.3, 1.1]","[4.7, 12.6, 24.2, 38.9]","Docenti per fasce di età (%) (A.S. 2025/26)",6,5.4,6,3.3,3.5,3.6,202425,"SCUOLA SECONDARIA II GRADO",5,14,72,196,"PV","Pavia",3,"Pavia","Lombardia","PV",19476,84.07,15.93,9472,10004,18.45289682539683,978,48.63421647155474,51.36578352844526,1433,434,1867,76.75,23.25,2465,1760,705,71.4,28.6,159,"28",187,217.00239424416952,202.78960901272075,181.018629552023,190.98910822391375,8,91.2,26.1,16.2,63.9,23004,22843.5,21323.2,0.6,3.3,370.6,2.4,23.7,72.9,7.8,35.7,40.1,1.3,1.8,82.3,43.8,21.9,491,9.8,35.3,29,19,81.5,6.4,179.2,120.9,0.3,4.9,39.8,3544,59.9,37,9.57,7.3,24.7,38.5,37.7,37.1,22,"ITC48",2025,3320,3350,3592,3552,3665,3885,4073,4151,4354,4555,4481,4613,4768,4764,4907,5125,5157,5010,5038,5132,5101,"Nord",-0.09,"1888.67"
"BSTD03101B","ANDREA MANTEGNA","VIA FURA 96","http://www.istitutomantegna.gov.it/",0,17,3,17029,"Brescia",17,47.37,34.25,62.51,44.2,24.06,4.94,45.28,54.72,11.32,80.04,76.03,"Brescia",10,"Tecnico - Economico",25.9,74,"[8.6, 10.3, 5.9, 1.1]","[3.2, 17.3, 25.9, 27.6]","Docenti per fasce di età (%) (A.S. 2025/26)",0.7,5.4,6,7.5,3.5,3.6,202425,"SCUOLA SECONDARIA II GRADO",5,2,8,24,"BS","Brescia",3,"Brescia","Lombardia","BS",48642,85.8,14.2,24983,23659,18.750693215339247,2369,51.36096377616052,48.63903622383948,3186,1391,4577,69.61,30.39,5980,4349,1631,72.73,27.27,388,"53",441,225.08406059418377,213.23367677309724,188.4899386606335,199.094898503104,7.9,94.4,26.7,10.2,62.8,21628.8,24587.7,22705.5,0.5,-2.4,356,2.8,28.6,72,4.5,37.5,39.3,0.5,1.5,84.1,29.6,28.1,530,6,42.1,31,21,82.3,6.3,169.5,196,0.7,5,45.1,6519,77.2,98.1,10.5,7.6,25.3,45.3,36.2,45.6,11.5,"ITC47",2025,8326,8704,8897,9133,9432,9768,10265,10621,11081,11406,11556,11874,12159,12603,13284,13384,13448,13462,13467,12965,13220,"Nord",-0.4,"1733.77"
"NAPS02201C","FRANCESCO SAVERIO NITTI","VIA KENNEDY 140142","http://www.isnitti.gov.it/",0,63,15,63049,"Napoli",11,52.51,38.5,68.08,55.1,23.99,5.19,91.3,8.7,17.39,80,64.5,"Napoli",10,"Scientifico",22,78.2,"[4.9, 12.2, 3.7, 1.2]","[3.7, 11.0, 9.8, 53.7]","Docenti per fasce di età (%) (A.S. 2025/26)",14.9,6.3,6,6.1,3.7,3.6,202425,"SCUOLA SECONDARIA II GRADO",5,3,31,14,"NA","Napoli",15,"Napoli","Campania","NA",156547,97.21,2.79,76535,80012,19.5282590529248,7842,48.88947089372521,51.11052910627479,11096,1411,12507,88.72,11.28,20212,16506,3706,81.66,18.34,578,"82",660,185.94419517447176,184.6554966432415,162.55764886282202,170.72764511935776,7.5,99.7,24,29.2,53.3,18752.7,18405.9,16734.7,0.9,-28.7,135.8,1.9,10.9,45.4,6.9,49.1,61,1,3.8,81.1,36,24.9,495,35.8,78,31,20,74.3,15.6,197.9,124.4,0.4,3.8,110.1,2409,51.5,20.1,34.88,12.2,14.1,,32.2,22.2,51.6,"ITF33",2025,22909,23421,24553,24152,25073,26099,26589,27751,27768,28350,28749,29361,30892,31610,32376,33397,33795,34949,35168,35383,36296,"Sud",1.44,"1623.94"
